,subject,session,scan,dvars,efc,fber,fwhm,fwhm_x,fwhm_y,fwhm_z,gcor,gsr_x,gsr_y,m_tsnr,mean_fd,num_fd,outlier,perc_fd,quality,size_t,size_x,size_y,size_z,snr,spacing_tr,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_fg,summary_p05_bg,summary_p05_fg,summary_p95_bg,summary_p95_fg,summary_stdv_bg,summary_stdv_fg,tr
10,sub-07,single_session,task-flanker_run-1,0.156848594546,0.535809710382,69.608543396,6.11353,5.38496,6.17141,6.87558,0.00870564375838,-0.0124343363568,0.0568301342428,54.8928833008,0.0347343662819,0.0,0.000639589041096,0.0,0.0106062855479,146,64,64,40,5.95381998614,2.0,3.0,3.0,4.0,44.3740692139,707.988220215,13.116437912,474.501370239,185.094859314,887.4681427,73.9907608032,121.746269226,2.0
11,sub-04,single_session,task-flanker_run-1,0.172751411796,0.535682816193,49.6949615479,6.10136,5.48152,6.21336,6.66889,0.0180038556661,0.00374662107788,0.0644173324108,40.4951400757,0.0575178987965,0.0,0.000473630136986,0.0,0.0170324258219,146,64,64,40,5.5031886698,2.0,3.0,3.0,4.0,52.3779945374,660.621276855,13.116437912,436.285604858,232.376708984,843.453396606,79.7883911133,121.807067871,2.0
12,sub-11,single_session,task-flanker_run-1,0.157949611545,0.50445031819,85.1100997925,5.89005,5.20042,6.04497,6.50018,0.0186862847576,0.000335226475727,0.0405878983438,56.7961425781,0.0586592609703,0.0,0.000912534246575,0.0,0.0106526344521,146,64,64,40,6.05132404132,2.0,3.0,3.0,4.0,42.2285232544,730.73223877,12.5753421783,488.417129517,180.050683594,906.255474854,68.8353118896,124.030639648,2.0
13,sub-02,single_session,task-flanker_run-1,0.163112089038,0.528010188664,67.0378036499,6.29766,5.55876,6.38288,7.03952,0.0932010363226,-0.0042905844748,0.056112319231,51.1337738037,0.0490399951097,0.0,0.00122630136986,0.0,0.0108038741096,146,64,64,40,5.73880607621,2.0,3.0,3.0,4.0,48.7533683777,726.79284668,13.9178085327,478.618148804,200.00068512,911.517120361,75.9435043335,129.715240479,2.0
14,sub-07,single_session,task-flanker_run-2,0.153229624033,0.535912592132,68.1561660767,6.07346,5.34262,6.1159,6.85637,0.0164724963985,-0.0129314074293,0.0572589337826,56.3466911316,0.0307208837805,0.0,0.000724794520548,0.0,0.00970498883562,146,64,64,40,5.96620165409,2.0,3.0,3.0,4.0,44.8430519104,707.405090332,13.1027393341,477.049310303,186.034583282,887.06027832,74.8711166382,121.22543335,2.0
15,sub-11,single_session,task-flanker_run-2,0.15604788065,0.503130889889,86.1102142334,5.85425,5.18218,5.9749,6.47993,0.0115089032748,0.00100167142227,0.0421219728887,57.2887496948,0.0683242057771,0.0,0.00115273972603,0.0,0.0105615569863,146,64,64,40,6.07271565061,2.0,3.0,3.0,4.0,42.2623443604,737.799560547,12.6301364899,495.11539917,181.107190704,914.258554077,69.1485366821,124.647842407,2.0
16,sub-22,single_session,task-flanker_run-2,0.15675932169,0.490150960609,98.8893661499,6.11473,5.56476,6.08181,6.7554,0.0157959689833,0.00158056255896,0.045411106199,49.5556716919,0.0739108162359,0.0,0.00132815068493,0.0,0.0152645673973,146,64,64,40,5.65548757598,2.0,3.0,3.0,4.0,40.1294364929,782.760314941,12.7328767776,518.424682617,162.706845093,988.424621582,69.2139968872,141.161834717,2.0
17,sub-25,single_session,task-flanker_run-2,0.220159441233,0.546449280794,55.2010612488,5.65543,4.98938,5.80821,6.24177,0.0106620053722,-0.00836408417672,0.0625230893493,38.7258148193,0.12885586312,1.0,0.00110143835616,0.680272108844,0.0245561006849,146,64,64,40,5.81547302422,2.0,3.0,3.0,4.0,51.2737922668,670.482421875,13.7123289108,455.891772461,210.060958099,848.302746582,75.9349975586,117.581298828,2.0
18,sub-06,single_session,task-flanker_run-2,0.126803606749,0.541331164917,61.5263710022,6.46773,5.74076,6.64033,7.09735,0.0123730914233,0.00735798850656,0.0557199530303,52.6403694153,0.0567453232316,0.0,0.00260369863014,0.0,0.00835539746575,146,64,64,40,5.2888866522,2.0,3.0,3.0,4.0,50.9388198853,704.278808594,13.4041099548,449.349304199,216.014730072,898.328735352,76.057220459,136.232574463,2.0
19,sub-19,single_session,task-flanker_run-2,0.166730493307,0.499814209338,80.5780563354,5.90699,5.21896,6.0274,6.55217,0.0246951400417,0.000229705532547,0.0385095924139,54.4232788086,0.0925009543982,2.0,0.00333410958904,1.36054421769,0.0109437926027,146,64,64,40,6.12316126209,2.0,3.0,3.0,4.0,43.188457489,736.898071289,12.8561639786,495.350003052,193.698623657,914.407525635,71.2747192383,123.84336853,2.0
20,sub-09,single_session,task-flanker_run-2,0.150779172778,0.54691812619,55.2321434021,5.80438,5.06971,5.9791,6.4513,0.00728925041956,0.00929091963917,0.0520566366613,52.4566841125,0.0436929825658,0.0,0.000737945205479,0.0,0.00954810842466,146,64,64,40,5.91779434652,2.0,3.0,3.0,4.0,49.7695121765,638.084350586,13.1027393341,431.049313354,202.325682831,799.069842529,72.034942627,110.438728333,2.0
21,sub-03,single_session,task-flanker_run-1,0.154323071241,0.522230173404,74.7274093628,6.80183,6.06017,6.83558,7.59655,0.0262951148699,0.0203488580883,0.0368136353791,44.8574142456,0.0795858063517,0.0,0.000859178082192,0.0,0.0135634393836,146,64,64,40,5.23377441224,2.0,3.0,3.0,4.0,44.994720459,698.505187988,13.0547943115,433.395892334,186.388356018,889.367114258,68.966468811,137.133361816,2.0
22,sub-01,single_session,task-flanker_run-1,0.130828306079,0.513813913775,98.7935256958,6.47425,5.84751,6.70621,6.92023,0.0105315161078,0.00196602544747,0.0435014665127,53.2265625,0.0531954189833,0.0,0.000979794520548,0.0,0.00874670924658,146,64,64,40,5.40440625593,2.0,3.0,3.0,4.0,37.5809364319,690.228149414,12.4863014221,443.192472839,152.38390274,881.843493652,59.9280509949,130.180297852,2.0
23,sub-04,single_session,task-flanker_run-2,0.138724192977,0.534525898859,48.9861183167,5.94187,5.33597,5.9969,6.55585,0.0160104869163,0.00344031723216,0.0661135241389,50.9779586792,0.0507365949444,0.0,0.000703082191781,0.0,0.00873920054795,146,64,64,40,5.5421938831,2.0,3.0,3.0,4.0,52.68724823,668.080383301,13.1643838882,447.552728271,236.639376068,851.289718628,81.5200195312,122.255050659,2.0
24,sub-05,single_session,task-flanker_run-2,0.163025572896,0.54503922814,63.9553413391,6.29103,5.51242,6.37976,7.07978,0.031675289755,-0.002637965139,0.0594229362905,52.5233688354,0.0430730409594,0.0,0.00114171232877,0.0,0.0107460089041,146,64,64,40,5.63039200048,2.0,3.0,3.0,4.0,51.8062591553,712.701293945,13.7602739334,469.609571838,214.098626709,899.839727783,74.4670639038,129.652267456,2.0
25,sub-24,single_session,task-flanker_run-2,0.146717205644,0.548908898097,64.3296813965,5.92292,5.28407,6.08097,6.46644,0.00908618593869,0.000399256590754,0.0451845191419,48.6751976013,0.0614932190387,0.0,0.000725753424658,0.0,0.0114988886301,146,64,64,40,5.55163645051,2.0,3.0,3.0,4.0,48.1369552612,672.875671387,13.7397260666,447.13013916,194.685961914,855.665722656,70.4905776978,123.431800842,2.0
